"city_en"
"Sapporo, Sapporo"
"Namegata, Ibaraki"
"Hokota, Ibaraki"
"Tsukubamirai, Ibaraki"
"Omitama, Ibaraki"
"Ibaraki, Ibaraki"
"oarai, Ibaraki"
"Shirosato, Ibaraki"
"Tokai, Ibaraki"
"Daigo, Ibaraki"
"Miho, Ibaraki"
"Ami, Ibaraki"
"Kawachi, Ibaraki"
"Yachiyo, Ibaraki"
"Goka, Ibaraki"
"Sakai, Ibaraki"
"Tone, Ibaraki"
"Utsunomiya, Tochigi"
"Ashikaga, Tochigi"
"Tochigi, Tochigi"
"Sano, Tochigi"
"Kanuma, Tochigi"
"Nikko, Tochigi"
"Oyama, Tochigi"
"Mooka, Tochigi"
"otawara, Tochigi"
"Yaita, Tochigi"
"Nasushiobara, Tochigi"
"Sakura, Tochigi"
"Nasukarasuyama, Tochigi"
"Shimotsuke, Tochigi"
"Kaminokawa, Tochigi"
"Mashiko, Tochigi"
"Motegi, Tochigi"
"Ichikai, Tochigi"
"Haga, Tochigi"
"Mibu, Tochigi"
"Nogi, Tochigi"
"Shioya, Tochigi"
"Takanezawa, Tochigi"
"Nasu, Tochigi"
"Nakagawa, Tochigi"
"Maebashi, Gunma"
"Takasaki, Gunma"
"Kiryu, Gunma"
"Isesaki, Gunma"
"ota, Gunma"
"Numata, Gunma"
"Tatebayashi, Gunma"
"Shibukawa, Gunma"
"Fujioka, Gunma"
"Tomioka, Gunma"
"Annaka, Gunma"
"Midori, Gunma"
"Shinto, Gunma"
"Yoshioka, Gunma"
"Ueno, Gunma"
"Kanna, Gunma"
"Shimonita, Gunma"
"Nanmoku, Gunma"
"Kanra, Gunma"
"Nakanojo, Gunma"
"Naganohara, Gunma"
"Tsumagoi, Gunma"
"Kusatsu, Gunma"
"Takayama, Gunma"
"Higashiagatsuma, Gunma"
"Katashina, Gunma"
"Kawaba, Gunma"
"Showa, Gunma"
"Minakami, Gunma"
"Tamamura, Gunma"
"Itakura, Gunma"
"Meiwa, Gunma"
"Chiyoda, Gunma"
"oizumi, Gunma"
"ora, Gunma"
"Saitama, Saitama"
"Nishi-ku, Saitama"
"Kita-ku, Saitama"
"omiya-ku, Saitama"
"Minuma-ku, Saitama"
"Chuo-ku, Saitama"
"Sakura-ku, Saitama"
"Urawa-ku, Saitama"
"Minami-ku, Saitama"
"Midori-ku, Saitama"
"Iwatsuki-ku, Saitama"
"Kawagoe, Saitama"
"Kumagaya, Saitama"
"Kawaguchi, Saitama"
"Gyoda, Saitama"
"Chichibu, Saitama"
"Tokorozawa, Saitama"
"Hanno, Saitama"
"Kazo, Saitama"
"Honjo, Saitama"
"Higashimatsuyama, Saitama"
"Kasukabe, Saitama"
"Sayama, Saitama"
"Hanyu, Saitama"
"Konosu, Saitama"
"Fukaya, Saitama"
"Ageo, Saitama"
"Soka, Saitama"
"Koshigaya"
"Warabi, Saitama"
"Toda, Saitama"
"Iruma, Saitama"
"Asaka, Saitama"
"Shiki, Saitama"
"Wako, Saitama"
"Niiza, Saitama"
"Okegawa, Saitama"
"Kuki, Saitama"
"Kitamoto, Saitama"
"Yashio, Saitama"
"Fujimi, Saitama"
"Misato, Saitama (city)"
"Hasuda, Saitama"
"Sakado, Saitama"
"Satte, Saitama"
"Tsurugashima, Saitama"
"Hidaka, Saitama"
"Yoshikawa, Saitama"
"Fujimino, Saitama"
"Shiraoka, Saitama"
"Ina, Saitama"
"Miyoshi, Saitama"
"Moroyama, Saitama"
"Ogose, Saitama"
"Namegawa, Saitama"
"Ranzan, Saitama"
"Ogawa, Saitama"
"Kawajima, Saitama"
"Yoshimi, Saitama"
"Hatoyama, Saitama"
"Tokigawa, Saitama"
"Yokoze, Saitama"
"Minano, Saitama"
"Nagatoro, Saitama"
"Ogano, Saitama"
"Higashichichibu, Saitama"
"Misato, Saitama (town)"
"Kamikawa, Saitama"
"Kamisato, Saitama"
"Yorii, Saitama"
"Miyashiro, Saitama"
"Sugito, Saitama"
"Matsubushi, Saitama"
"Chiba (city)"
"Chuo-ku, Chiba"
"Hanamigawa-ku"
"Inage-ku"
"Wakaba-ku"
"Midori-ku, Chiba"
"Mihama-ku"
"Choshi"
"Ichikawa, Chiba"
"Funabashi, Chiba"
"Tateyama, Chiba"
"Kisarazu"
"Matsudo"
"Noda, Chiba"
"Mobara"
"Narita, Chiba"
"Sakura, Chiba"
"Togane"
"Asahi, Chiba"
"Narashino"
"Kashiwa"
"Katsuura, Chiba"
"Ichihara, Chiba"
"Nagareyama"
"Yachiyo, Chiba"
"Abiko, Chiba"
"Kamogawa, Chiba"
"Kamagaya"
"Kimitsu"
"Futtsu"
"Urayasu"
"Yotsukaido"
"Sodegaura"
"Yachimata"
"Inzai"
"Shiroi"
"Tomisato"
"Minamiboso"
"Sosa"
"Katori, Chiba"
"Sanmu"
"Isumi"
"oamishirasato"
"Shisui"
"Sakae, Chiba"
"Kozaki"
"Tako, Chiba"
"Tonosho"
"Kujukuri"
"Shibayama, Chiba"
"Yokoshibahikari"
"Ichinomiya, Chiba"
"Mutsuzawa"
"Chosei"
"Shirako"
"Nagara, Chiba"
"Chonan"
"otaki, Chiba"
"Onjuku"
"Kyonan"
"Chiyoda, Tokyo"
"Chuo, Tokyo"
"Minato, Tokyo"
"Shinjuku"
"Bunkyo"
"Taito"
"Sumida, Tokyo"
"Koto"
"Shinagawa, Tokyo"
"Meguro, Tokyo"
"ota, Tokyo"
"Setagaya, Tokyo"
"Shibuya"
"Nakano, Tokyo"
"Suginami"
"Toshima"
"Kita, Tokyo"
"Arakawa, Tokyo"
"Itabashi"
"Nerima, Tokyo"
"Adachi, Tokyo"
"Katsushika, Tokyo"
"Edogawa, Tokyo"
"Hachioji"
"Tachikawa, Tokyo"
"Musashino, Tokyo"
"Mitaka, Tokyo"
"ome, Tokyo"
"Fuchu, Tokyo"
"Akishima, Tokyo"
"Chofu, Tokyo"
"Machida, Tokyo"
"Koganei, Tokyo"
"Kodaira, Tokyo"
"Hino, Tokyo"
"Higashimurayama, Tokyo"
"Kokubunji, Tokyo"
"Kunitachi, Tokyo"
"Fussa, Tokyo"
"Komae, Tokyo"
"Higashiyamato, Tokyo"
"Kiyose, Tokyo"
"Higashikurume, Tokyo"
"Musashimurayama, Tokyo"
"Tama, Tokyo"
"Inagi"
"Hamura, Tokyo"
"Akiruno, Tokyo"
"Nishitokyo, Tokyo"
"Mizuho, Tokyo"
"Hinode, Tokyo"
"Hinohara, Tokyo"
"Okutama, Tokyo"
"oshima, Tokyo"
"To-shima, Tokyo"
"Niijima, Tokyo"
"Kozushima, Tokyo"
"Miyake, Tokyo"
"Mikurajima, Tokyo"
"Hachijo, Tokyo"
"Aogashima, Tokyo"
"Ogasawara, Tokyo"
"Yokohama"
"Tsurumi-ku, Yokohama"
"Kanagawa-ku, Yokohama"
"Nishi-ku, Yokohama"
"Naka-ku, Yokohama"
"Minami-ku, Yokohama"
"Hodogaya-ku, Yokohama"
"Isogo-ku, Yokohama"
"Kanazawa-ku, Yokohama"
"Kohoku-ku, Yokohama"
"Totsuka-ku, Yokohama"
"Konan-ku, Yokohama"
"Asahi-ku, Yokohama"
"Midori-ku, Yokohama"
"Seya-ku, Yokohama"
"Sakae-ku, Yokohama"
"Izumi-ku, Yokohama"
"Aoba-ku, Yokohama"
"Tsuzuki-ku, Yokohama"
"Kawasaki, Kanagawa"
"Kawasaki-ku, Kawasaki"
"Saiwai-ku, Kawasaki"
"Nakahara-ku, Kawasaki"
"Takatsu-ku, Kawasaki"
"Tama-ku, Kawasaki"
"Miyamae-ku, Kawasaki"
"Asao-ku, Kawasaki"
"Sagamihara"
"Midori-ku, Sagamihara"
"Chuo-ku, Sagamihara"
"Minami-ku, Sagamihara"
"Yokosuka, Kanagawa"
"Hiratsuka"
"Kamakura"
"Fujisawa, Kanagawa"
"Odawara"
"Chigasaki, Kanagawa"
"Zushi, Kanagawa"
"Miura, Kanagawa"
"Hadano, Kanagawa"
"Atsugi"
"Yamato, Kanagawa"
"Isehara, Kanagawa"
"Ebina, Kanagawa"
"Zama, Kanagawa"
"Minamiashigara, Kanagawa"
"Ayase, Kanagawa"
"Hayama, Kanagawa"
"Samukawa"
"oiso, Kanagawa"
"Ninomiya, Kanagawa"
"Nakai, Kanagawa"
"oi, Kanagawa"
"Matsuda, Kanagawa"
"Yamakita, Kanagawa"
"Kaisei, Kanagawa"
"Hakone"
"Manazuru, Kanagawa"
"Yugawara"
"Aikawa, Kanagawa"
"Kiyokawa, Kanagawa"
"Niigata (city)"
"Kita-ku, Niigata"
"Higashi-ku, Niigata"
"Chuo-ku, Niigata"
"Konan-ku, Niigata"
"Akiha-ku, Niigata"
"Minami-ku, Niigata"
"Nishi-ku, Niigata"
"Nishikan-ku, Niigata"
"Nagaoka, Niigata"
"Sanjo, Niigata"
"Kashiwazaki, Niigata"
"Shibata, Niigata"
"Ojiya, Niigata"
"Kamo, Niigata"
"Tokamachi"
"Mitsuke, Niigata"
"Murakami, Niigata"
"Tsubame, Niigata"
"Itoigawa, Niigata"
"Myoko, Niigata"
"Gosen, Niigata"
"Joetsu, Niigata"
"Agano, Niigata"
"Sado, Niigata"
"Uonuma"
"Minamiuonuma"
"Tainai"
"Seiro, Niigata"
"Yahiko, Niigata"
"Tagami, Niigata"
"Aga, Niigata"
"Izumozaki"
"Yuzawa, Niigata"
"Tsunan"
"Kariwa"
"Sekikawa"
"Awashimaura"
"Toyama (city)"
"Takaoka, Toyama"
"Uozu, Toyama"
"Himi, Toyama"
"Namerikawa, Toyama"
"Kurobe, Toyama"
"Tonami, Toyama"
"Oyabe, Toyama"
"Nanto, Toyama"
"Imizu, Toyama"
"Funahashi, Toyama"
"Kamiichi, Toyama"
"Tateyama, Toyama"
"Nyuzen, Toyama"
"Asahi, Toyama"
"Kanazawa"
"Nanao, Ishikawa"
"Komatsu, Ishikawa"
"Wajima, Ishikawa"
"Suzu, Ishikawa"
"Kaga, Ishikawa"
"Hakui, Ishikawa"
"Kahoku, Ishikawa"
"Hakusan, Ishikawa"
"Nomi, Ishikawa"
"Nonoichi, Ishikawa"
"Kawakita, Ishikawa"
"Tsubata, Ishikawa"
"Uchinada, Ishikawa"
"Shika, Ishikawa"
"Hodatsushimizu, Ishikawa"
"Nakanoto, Ishikawa"
"Anamizu, Ishikawa"
"Noto, Ishikawa"
"Fukui (city)"
"Tsuruga, Fukui"
"Obama, Fukui"
"ono, Fukui"
"Katsuyama, Fukui"
"Sabae, Fukui"
"Awara, Fukui"
"Echizen, Fukui"
"Sakai, Fukui"
"Eiheiji, Fukui"
"Ikeda, Fukui"
"Minamiechizen, Fukui"
"Echizen, Fukui (town)"
"Mihama, Fukui"
"Takahama, Fukui"
"oi, Fukui"
"Wakasa, Fukui"
"Kofu"
"Fujiyoshida, Yamanashi"
"Tsuru, Yamanashi"
"Yamanashi, Yamanashi"
"otsuki, Yamanashi"
"Nirasaki, Yamanashi"
"Minami-Alps, Yamanashi"
"Hokuto, Yamanashi"
"Kai, Yamanashi"
"Fuefuki"
"Uenohara, Yamanashi"
"Koshu, Yamanashi"
"Chuo, Yamanashi"
"Ichikawamisato"
"Hayakawa, Yamanashi"
"Minobu, Yamanashi"
"Nanbu, Yamanashi"
"Fujikawa, Yamanashi"
"Showa, Yamanashi"
"Doshi"
"Nishikatsura"
"Oshino, Yamanashi"
"Yamanakako, Yamanashi"
"Narusawa, Yamanashi"
"Fujikawaguchiko, Yamanashi"
"Kosuge, Yamanashi"
"Tabayama"
"Nagano (city)"
"Matsumoto, Nagano"
"Ueda, Nagano"
"Okaya, Nagano"
"Iida, Nagano"
"Suwa, Nagano"
"Suzaka, Nagano"
"Komoro, Nagano"
"Ina, Nagano"
"Komagane, Nagano"
"Nakano, Nagano"
"omachi, Nagano"
"Iiyama, Nagano"
"Chino, Nagano"
"Shiojiri, Nagano"
"Saku, Nagano"
"Chikuma, Nagano"
"Tomi, Nagano"
"Azumino, Nagano"
"Koumi, Nagano"
"Kawakami, Nagano"
"Minamimaki, Nagano"
"Minamiaiki, Nagano"
"Kitaaiki, Nagano"
"Sakuho, Nagano"
"Karuizawa, Nagano"
"Miyota, Nagano"
"Tateshina, Nagano"
"Aoki, Nagano"
"Nagawa, Nagano"
"Shimosuwa, Nagano"
"Fujimi, Nagano"
"Hara, Nagano"
"Tatsuno, Nagano"
"Minowa, Nagano"
"Iijima, Nagano"
"Minamiminowa, Nagano"
"Nakagawa, Nagano"
"Miyada, Nagano"
"Matsukawa, Nagano (Shimoina)"
"Takamori, Nagano"
"Anan, Nagano"
"Achi, Nagano"
"Hiraya, Nagano"
"Neba, Nagano"
"Shimojo, Nagano"
"Urugi, Nagano"
"Tenryu, Nagano"
"Yasuoka, Nagano"
"Takagi, Nagano"
"Toyooka, Nagano"
"oshika, Nagano"
"Agematsu, Nagano"
"Nagiso, Nagano"
"Kiso, Nagano (village)"
"otaki, Nagano"
"okuwa, Nagano"
"Kiso, Nagano (town)"
"Omi, Nagano"
"Ikusaka, Nagano"
"Yamagata, Nagano"
"Asahi, Nagano"
"Chikuhoku, Nagano"
"Ikeda, Nagano"
"Matsukawa, Nagano (Kitaazumi)"
"Hakuba, Nagano"
"Otari, Nagano"
"Sakaki, Nagano"
"Obuse, Nagano"
"Takayama, Nagano"
"Yamanouchi, Nagano"
"Kijimadaira, Nagano"
"Nozawaonsen, Nagano"
"Shinano, Nagano"
"Ogawa, Nagano"
"Iizuna, Nagano"
"Sakae, Nagano"
"Gifu"
"ogaki"
"Takayama, Gifu"
"Tajimi"
"Seki, Gifu"
"Nakatsugawa, Gifu"
"Mino, Gifu"
"Mizunami, Gifu"
"Hashima, Gifu"
"Ena, Gifu"
"Minokamo, Gifu"
"Toki, Gifu"
"Kakamigahara, Gifu"
"Kani, Gifu"
"Yamagata, Gifu"
"Mizuho, Gifu"
"Hida, Gifu"
"Motosu, Gifu"
"Gujo, Gifu"
"Gero, Gifu"
"Kaizu"
"Ginan, Gifu"
"Kasamatsu, Gifu"
"Yoro, Gifu"
"Tarui, Gifu"
"Sekigahara, Gifu"
"Godo, Gifu"
"Wanouchi, Gifu"
"Anpachi, Gifu"
"Ibigawa"
"ono, Gifu"
"Ikeda, Gifu"
"Kitagata, Gifu"
"Sakahogi, Gifu"
"Tomika, Gifu"
"Kawabe, Gifu"
"Hichiso, Gifu"
"Yaotsu, Gifu"
"Shirakawa, Gifu (town)"
"Higashishirakawa, Gifu"
"Mitake, Gifu"
"Shirakawa, Gifu (village)"
"Shizuoka (city)"
"Aoi-ku, Shizuoka"
"Suruga-ku, Shizuoka"
"Shimizu-ku, Shizuoka"
"Hamamatsu"
"Naka-ku, Hamamatsu"
"Higashi-ku, Hamamatsu"
"Nishi-ku, Hamamatsu"
"Minami-ku, Hamamatsu"
"Kita-ku, Hamamatsu"
"Hamakita Ward"
"Tenryu Ward"
"Numazu"
"Atami"
"Mishima, Shizuoka"
"Fujinomiya, Shizuoka"
"Ito, Shizuoka"
"Shimada, Shizuoka"
